"","country","countryname","sentence_id","text","date","party","partyname","text_id"
"2463",51,"United Kingdom",885,"Getting an NHS dentist is increasingly a lottery and the consequences are dire.",202407,51320,"Labour Party","51320_202407_885"
"2464",51,"United Kingdom",886,"The most common reason children aged five to nine are admitted to hospital is to have rotting teeth removed.",202407,51320,"Labour Party","51320_202407_886"
"2465",51,"United Kingdom",887,"Labour will tackle the immediate crisis with a rescue plan to provide 700,000 more urgent dental appointments and recruit new dentists to areas that need them most.",202407,51320,"Labour Party","51320_202407_887"
"2466",51,"United Kingdom",888,"To rebuild dentistry for the long term, Labour will reform the dental contract, with a shift to focusing on prevention and the retention of NHS dentists.",202407,51320,"Labour Party","51320_202407_888"
"2467",51,"United Kingdom",889,"We will also introduce a supervised tooth-brushing scheme for 3- to 5-year-olds, targeting the areas of highest need.",202407,51320,"Labour Party","51320_202407_889"
"2468",51,"United Kingdom",890,"Social care reform",202407,51320,"Labour Party","51320_202407_890"
"2469",51,"United Kingdom",891,"Labour is committed to ensuring everyone lives an independent, prosperous life.",202407,51320,"Labour Party","51320_202407_891"
"2470",51,"United Kingdom",892,"Social care is vital to achieving this, but hundreds of thousands of people suffer without the care they need for a dignified life.",202407,51320,"Labour Party","51320_202407_892"
"2471",51,"United Kingdom",893,"The sector needs deep reform: there are inconsistent standards, chronic staff shortages, and people are not always treated with the care, dignity and respect they deserve.",202407,51320,"Labour Party","51320_202407_893"
"2472",51,"United Kingdom",894,"Labour will undertake a programme of reform to create a National Care Service, underpinned by national standards, delivering consistency of care across the country.",202407,51320,"Labour Party","51320_202407_894"
"2473",51,"United Kingdom",895,"Services will be locally delivered, with a principle of ‘home first’ that supports people to live independently for as long as possible.",202407,51320,"Labour Party","51320_202407_895"
"2474",51,"United Kingdom",896,"Our new standards will ensure high-quality care and ongoing sustainability, and ensure providers behave responsibly.",202407,51320,"Labour Party","51320_202407_896"
"2475",51,"United Kingdom",897,"Labour will develop local partnership working between the NHS and social care on hospital discharge.",202407,51320,"Labour Party","51320_202407_897"
"2476",51,"United Kingdom",898,"We will enhance partnership working across employers, workers, trade unions and government and establish a Fair Pay Agreement in adult social care.",202407,51320,"Labour Party","51320_202407_898"
"2477",51,"United Kingdom",899,"This sector collective agreement will set fair pay, terms and conditions, along with training standards.",202407,51320,"Labour Party","51320_202407_899"
"2478",51,"United Kingdom",900,"Labour will consult widely on the design of this agreement, before beginning the process and learn from countries where they operate successfully.",202407,51320,"Labour Party","51320_202407_900"
"2479",51,"United Kingdom",901,"Labour is committed to ensuring families have the support they need.",202407,51320,"Labour Party","51320_202407_901"
"2480",51,"United Kingdom",902,"We will guarantee the rights of those in residential care to be able to see their families.",202407,51320,"Labour Party","51320_202407_902"
